City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ribeira Grande,38.52,-28.7,69.58,80,5,11.59,PT,1595109849
Rikitea,-23.12,-134.97,72.41,79,23,19.22,PF,1595109849
Ilulissat,69.22,-51.1,57.2,33,100,3.36,GL,1595109849
Tuktoyaktuk,69.45,-133.04,41.0,93,90,11.41,CA,1595109849
Alofi,-19.06,-169.92,78.8,69,84,8.05,NU,1595109665
Leshukonskoye,64.9,45.76,49.96,90,62,3.4,RU,1595109849
Bluff,-46.6,168.33,38.98,74,0,7.54,NZ,1595109849
Hermanus,-34.42,19.23,50.0,95,0,5.82,ZA,1595109850
Kahului,20.89,-156.47,91.4,49,40,23.04,US,1595109712
Albany,42.6,-73.97,91.99,38,35,4.43,US,1595109807
Ushuaia,-54.8,-68.3,32.0,94,75,3.36,AR,1595109685
Province of Mantua,45.17,10.78,69.01,62,0,5.01,IT,1595109837
Arraial do Cabo,-22.97,-42.03,71.6,73,0,14.99,BR,1595109850
Gemeente Wageningen,51.97,5.67,68.0,88,90,6.93,NL,1595109851
Raudeberg,61.99,5.14,57.2,71,1,17.22,NO,1595109851
Mīzan Teferī,6.98,35.58,61.66,95,100,0.56,ET,1595109851
Punta Arenas,-53.15,-70.92,35.6,80,90,18.34,CL,1595109706
Ust-Kuyga,70.02,135.6,63.54,38,100,5.77,RU,1595109851
Teluk Nibung,3.0,99.82,75.25,92,89,3.71,ID,1595109851
Castro,-24.79,-50.01,60.37,88,8,4.56,BR,1595109851
Faanui,-16.48,-151.75,75.4,83,93,18.92,PF,1595109852
Busselton,-33.65,115.33,51.01,80,58,4.94,AU,1595109562
Kaitangata,-46.28,169.85,35.01,81,1,3.0,NZ,1595109852
Iwanai,42.97,140.51,68.54,82,95,2.28,JP,1595109852
Ponta do Sol,32.67,-17.1,69.01,70,15,1.9,PT,1595109852
Mataura,-46.19,168.86,37.22,76,0,2.48,NZ,1595109852
São Filipe,14.9,-24.5,75.9,76,35,8.95,CV,1595109852
Ancud,-41.87,-73.82,52.0,87,75,17.22,CL,1595109853
Bredasdorp,-34.53,20.04,50.0,93,0,4.7,ZA,1595109853
Cairns,-16.92,145.77,60.8,82,40,1.12,AU,1595109853
Dno,57.83,29.96,60.71,78,100,2.19,RU,1595109853
Cape Town,-33.93,18.42,55.99,93,0,4.7,ZA,1595109853
Dunedin,-45.87,170.5,50.0,79,0,4.0,NZ,1595109853
Ikom,5.97,8.71,72.3,96,87,2.44,NG,1595109853
Necochea,-38.55,-58.74,48.0,94,90,1.99,AR,1595109854
Barrow,71.29,-156.79,37.4,80,75,13.87,US,1595109854
Leningradskiy,69.38,178.42,39.94,76,90,11.56,RU,1595109854
Thompson,55.74,-97.86,71.6,49,75,9.17,CA,1595109854
Perth,-31.93,115.83,45.0,100,40,5.82,AU,1595109691
